2023-06-28 16:30:34,307 INFO    MainThread:174877 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-28 16:30:34,308 INFO    MainThread:174877 [wandb_setup.py:_flush():76] Configure stats pid to 174877
2023-06-28 16:30:34,308 INFO    MainThread:174877 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-06-28 16:30:34,308 INFO    MainThread:174877 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-06-28 16:30:34,308 INFO    MainThread:174877 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-28 16:30:34,308 INFO    MainThread:174877 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-06-28 16:30:34,308 INFO    MainThread:174877 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230628_163034-z8qwzssu/logs/debug.log
2023-06-28 16:30:34,308 INFO    MainThread:174877 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230628_163034-z8qwzssu/logs/debug-internal.log
2023-06-28 16:30:34,308 INFO    MainThread:174877 [wandb_init.py:init():547] calling init triggers
2023-06-28 16:30:34,308 INFO    MainThread:174877 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'cifar10', 'num_clients': 40, 'alpha': 1, 'beta': 1, 'clients': [<__main__.Client object at 0x7f2b89c57410>, <__main__.Client object at 0x7f2b89c55d50>, <__main__.Client object at 0x7f2b89d37890>, <__main__.Client object at 0x7f2b89d350d0>, <__main__.Client object at 0x7f2b89c67290>, <__main__.Client object at 0x7f2b89c66b10>, <__main__.Client object at 0x7f2b89cf29d0>, <__main__.Client object at 0x7f2b89c67890>, <__main__.Client object at 0x7f2b89cf31d0>, <__main__.Client object at 0x7f2b89c64cd0>, <__main__.Client object at 0x7f2b8a3ebf90>, <__main__.Client object at 0x7f2b8a431f10>, <__main__.Client object at 0x7f2b89c65d90>, <__main__.Client object at 0x7f2b89cce710>, <__main__.Client object at 0x7f2b89c75550>, <__main__.Client object at 0x7f2b8a430c10>, <__main__.Client object at 0x7f2b89cde250>, <__main__.Client object at 0x7f2b89c8bf90>, <__main__.Client object at 0x7f2b89c75e10>, <__main__.Client object at 0x7f2b89c7e710>, <__main__.Client object at 0x7f2b89c8d890>, <__main__.Client object at 0x7f2b89c7cdd0>, <__main__.Client object at 0x7f2b89cf3f50>, <__main__.Client object at 0x7f2b89d0d210>, <__main__.Client object at 0x7f2b8a3f8e90>, <__main__.Client object at 0x7f2b8a430d10>, <__main__.Client object at 0x7f2b8a430750>, <__main__.Client object at 0x7f2b8a3f8b50>, <__main__.Client object at 0x7f2b9b2bba10>, <__main__.Client object at 0x7f2b89c77b50>, <__main__.Client object at 0x7f2b89cf9690>, <__main__.Client object at 0x7f2b8a3fbe90>, <__main__.Client object at 0x7f2b89cfbd10>, <__main__.Client object at 0x7f2b89c88e50>, <__main__.Client object at 0x7f2b96adb610>, <__main__.Client object at 0x7f2b89d36e50>, <__main__.Client object at 0x7f2b89c75d90>, <__main__.Client object at 0x7f2b89d37050>, <__main__.Client object at 0x7f2b89c75350>, <__main__.Client object at 0x7f2b89c77f50>], 'server': <__main__.Server object at 0x7f2b89b88390>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'client_selection': 'S-FedAvg', 'algo-alpha': 0.9000000000000001, 'algo-beta': 0.09999999999999987}
2023-06-28 16:30:34,308 INFO    MainThread:174877 [wandb_init.py:init():596] starting backend
2023-06-28 16:30:34,308 INFO    MainThread:174877 [wandb_init.py:init():600] setting up manager
2023-06-28 16:30:34,310 INFO    MainThread:174877 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-28 16:30:34,312 INFO    MainThread:174877 [wandb_init.py:init():606] backend started and connected
2023-06-28 16:30:34,316 INFO    MainThread:174877 [wandb_init.py:init():703] updated telemetry
2023-06-28 16:30:34,321 INFO    MainThread:174877 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-28 16:30:35,731 INFO    MainThread:174877 [wandb_run.py:_on_init():2176] communicating current version
2023-06-28 16:30:35,885 INFO    MainThread:174877 [wandb_run.py:_on_init():2185] got version response 
2023-06-28 16:30:35,885 INFO    MainThread:174877 [wandb_init.py:init():787] starting run threads in backend
2023-06-28 16:30:39,521 INFO    MainThread:174877 [wandb_run.py:_console_start():2155] atexit reg
2023-06-28 16:30:39,521 INFO    MainThread:174877 [wandb_run.py:_redirect():2010] redirect: 3
2023-06-28 16:30:39,521 INFO    MainThread:174877 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-28 16:30:39,521 INFO    MainThread:174877 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-28 16:30:39,522 INFO    MainThread:174877 [wandb_init.py:init():828] run started, returning control to user process
2023-06-28 16:32:10,761 INFO    MainThread:174877 [wandb_run.py:_finish():1890] finishing run pringlesinghal/federated-learning-summary/z8qwzssu
2023-06-28 16:32:10,761 INFO    MainThread:174877 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-06-28 16:32:10,762 INFO    MainThread:174877 [wandb_run.py:_restore():2107] restore
2023-06-28 16:32:10,762 INFO    MainThread:174877 [wandb_run.py:_restore():2113] restore done
2023-06-28 16:32:16,194 INFO    MainThread:174877 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-28 16:32:16,202 INFO    MainThread:174877 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-28 16:32:16,208 INFO    MainThread:174877 [wandb_run.py:_footer_sync_info():3426] logging synced files
