2023-06-28 20:05:57,972 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-28 20:05:57,973 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Configure stats pid to 195703
2023-06-28 20:05:57,973 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-06-28 20:05:57,973 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-06-28 20:05:57,973 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-28 20:05:57,973 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-06-28 20:05:57,973 INFO    MainThread:195703 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230628_200557-l8k3ufr9/logs/debug.log
2023-06-28 20:05:57,973 INFO    MainThread:195703 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230628_200557-l8k3ufr9/logs/debug-internal.log
2023-06-28 20:05:57,973 INFO    MainThread:195703 [wandb_init.py:init():547] calling init triggers
2023-06-28 20:05:57,973 INFO    MainThread:195703 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'synthetic', 'num_clients': 40, 'alpha': 0.5, 'beta': 0.5, 'clients': [<__main__.Client object at 0x7fb5a60f73d0>, <__main__.Client object at 0x7fb64f791810>, <__main__.Client object at 0x7fb53ef4cf10>, <__main__.Client object at 0x7fb5969b3d90>, <__main__.Client object at 0x7fb53ef4db50>, <__main__.Client object at 0x7fb550094d90>, <__main__.Client object at 0x7fb596a71610>, <__main__.Client object at 0x7fb596a70ad0>, <__main__.Client object at 0x7fb53ef4e690>, <__main__.Client object at 0x7fb53ef73550>, <__main__.Client object at 0x7fb5900c9d50>, <__main__.Client object at 0x7fb59011dad0>, <__main__.Client object at 0x7fb596a3ee50>, <__main__.Client object at 0x7fb59011bbd0>, <__main__.Client object at 0x7fb53ed242d0>, <__main__.Client object at 0x7fb59011d3d0>, <__main__.Client object at 0x7fb53edee5d0>, <__main__.Client object at 0x7fb5a6181250>, <__main__.Client object at 0x7fb596a47450>, <__main__.Client object at 0x7fb53edeb690>, <__main__.Client object at 0x7fb53ef1b3d0>, <__main__.Client object at 0x7fb5969c02d0>, <__main__.Client object at 0x7fb55029a0d0>, <__main__.Client object at 0x7fb55029b010>, <__main__.Client object at 0x7fb55029a350>, <__main__.Client object at 0x7fb55029b150>, <__main__.Client object at 0x7fb596a705d0>, <__main__.Client object at 0x7fb53ef08bd0>, <__main__.Client object at 0x7fb5969e79d0>, <__main__.Client object at 0x7fb596a47810>, <__main__.Client object at 0x7fb5969b49d0>, <__main__.Client object at 0x7fb5969b7e10>, <__main__.Client object at 0x7fb590119190>, <__main__.Client object at 0x7fb59007c6d0>, <__main__.Client object at 0x7fb5502982d0>, <__main__.Client object at 0x7fb5a1860490>, <__main__.Client object at 0x7fb596a479d0>, <__main__.Client object at 0x7fb596a41510>, <__main__.Client object at 0x7fb53edeabd0>, <__main__.Client object at 0x7fb596a407d0>], 'server': <__main__.Server object at 0x7fb596a41750>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'algorithm': 'FedProx', 'mu': 10}
2023-06-28 20:05:57,973 INFO    MainThread:195703 [wandb_init.py:init():596] starting backend
2023-06-28 20:05:57,973 INFO    MainThread:195703 [wandb_init.py:init():600] setting up manager
2023-06-28 20:05:57,975 INFO    MainThread:195703 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-28 20:05:57,977 INFO    MainThread:195703 [wandb_init.py:init():606] backend started and connected
2023-06-28 20:05:57,980 INFO    MainThread:195703 [wandb_init.py:init():703] updated telemetry
2023-06-28 20:05:57,986 INFO    MainThread:195703 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-28 20:05:59,372 INFO    MainThread:195703 [wandb_run.py:_on_init():2176] communicating current version
2023-06-28 20:05:59,534 INFO    MainThread:195703 [wandb_run.py:_on_init():2185] got version response 
2023-06-28 20:05:59,534 INFO    MainThread:195703 [wandb_init.py:init():787] starting run threads in backend
2023-06-28 20:06:03,115 INFO    MainThread:195703 [wandb_run.py:_console_start():2155] atexit reg
2023-06-28 20:06:03,115 INFO    MainThread:195703 [wandb_run.py:_redirect():2010] redirect: 3
2023-06-28 20:06:03,115 INFO    MainThread:195703 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-28 20:06:03,115 INFO    MainThread:195703 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-28 20:06:03,116 INFO    MainThread:195703 [wandb_init.py:init():828] run started, returning control to user process
2023-06-28 20:07:30,202 INFO    MainThread:195703 [wandb_run.py:_finish():1890] finishing run pringlesinghal/federated-learning-summary/l8k3ufr9
2023-06-28 20:07:30,202 INFO    MainThread:195703 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-06-28 20:07:30,202 INFO    MainThread:195703 [wandb_run.py:_restore():2107] restore
2023-06-28 20:07:30,203 INFO    MainThread:195703 [wandb_run.py:_restore():2113] restore done
2023-06-28 20:07:36,495 INFO    MainThread:195703 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-28 20:07:36,495 INFO    MainThread:195703 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-28 20:07:36,499 INFO    MainThread:195703 [wandb_run.py:_footer_sync_info():3426] logging synced files
