2023-06-28 20:14:05,981 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-28 20:14:05,982 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Configure stats pid to 195703
2023-06-28 20:14:05,982 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-06-28 20:14:05,982 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-06-28 20:14:05,982 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-28 20:14:05,982 INFO    MainThread:195703 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-06-28 20:14:05,982 INFO    MainThread:195703 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230628_201405-qb0pwr9j/logs/debug.log
2023-06-28 20:14:05,982 INFO    MainThread:195703 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230628_201405-qb0pwr9j/logs/debug-internal.log
2023-06-28 20:14:05,982 INFO    MainThread:195703 [wandb_init.py:init():547] calling init triggers
2023-06-28 20:14:05,982 INFO    MainThread:195703 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'synthetic', 'num_clients': 40, 'alpha': 0.5, 'beta': 0.5, 'clients': [<__main__.Client object at 0x7fb596a33b10>, <__main__.Client object at 0x7fb5969c0190>, <__main__.Client object at 0x7fb596a33190>, <__main__.Client object at 0x7fb596a32090>, <__main__.Client object at 0x7fb53ed19d50>, <__main__.Client object at 0x7fb53ed1bc90>, <__main__.Client object at 0x7fb53edd8c50>, <__main__.Client object at 0x7fb596a33290>, <__main__.Client object at 0x7fb53ef723d0>, <__main__.Client object at 0x7fb590118790>, <__main__.Client object at 0x7fb5969e7650>, <__main__.Client object at 0x7fb53edeb610>, <__main__.Client object at 0x7fb550177c10>, <__main__.Client object at 0x7fb550177510>, <__main__.Client object at 0x7fb550177d10>, <__main__.Client object at 0x7fb5900d4e10>, <__main__.Client object at 0x7fb5900d7490>, <__main__.Client object at 0x7fb596a24690>, <__main__.Client object at 0x7fb55016da50>, <__main__.Client object at 0x7fb53edefb50>, <__main__.Client object at 0x7fb5502f6b90>, <__main__.Client object at 0x7fb596a3c890>, <__main__.Client object at 0x7fb596a3fe50>, <__main__.Client object at 0x7fb550175c90>, <__main__.Client object at 0x7fb53ef14110>, <__main__.Client object at 0x7fb53ef14ed0>, <__main__.Client object at 0x7fb596a3c510>, <__main__.Client object at 0x7fb5969b7e10>, <__main__.Client object at 0x7fb53ef19a50>, <__main__.Client object at 0x7fb53ede9510>, <__main__.Client object at 0x7fb55037b450>, <__main__.Client object at 0x7fb596a88290>, <__main__.Client object at 0x7fb5a18605d0>, <__main__.Client object at 0x7fb596a89a10>, <__main__.Client object at 0x7fb5a60e8ad0>, <__main__.Client object at 0x7fb596a89f50>, <__main__.Client object at 0x7fb596a71910>, <__main__.Client object at 0x7fb55013ebd0>, <__main__.Client object at 0x7fb55013cad0>, <__main__.Client object at 0x7fb55016fd50>], 'server': <__main__.Server object at 0x7fb5900d6610>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'algorithm': 'FedProx', 'mu': 100}
