2023-06-28 22:32:43,497 INFO    MainThread:222862 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-28 22:32:43,498 INFO    MainThread:222862 [wandb_setup.py:_flush():76] Configure stats pid to 222862
2023-06-28 22:32:43,498 INFO    MainThread:222862 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-06-28 22:32:43,498 INFO    MainThread:222862 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-06-28 22:32:43,498 INFO    MainThread:222862 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-28 22:32:43,498 INFO    MainThread:222862 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-06-28 22:32:43,498 INFO    MainThread:222862 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230628_223243-mks9hodk/logs/debug.log
2023-06-28 22:32:43,498 INFO    MainThread:222862 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230628_223243-mks9hodk/logs/debug-internal.log
2023-06-28 22:32:43,498 INFO    MainThread:222862 [wandb_init.py:init():547] calling init triggers
2023-06-28 22:32:43,498 INFO    MainThread:222862 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'synthetic', 'num_clients': 40, 'alpha': 1, 'beta': 0.1, 'clients': [<__main__.Client object at 0x7f20ef356c10>, <__main__.Client object at 0x7f20ef6a79d0>, <__main__.Client object at 0x7f20ea139f90>, <__main__.Client object at 0x7f20ea7d7cd0>, <__main__.Client object at 0x7f20e9f87090>, <__main__.Client object at 0x7f20e6b39ed0>, <__main__.Client object at 0x7f20e6b28550>, <__main__.Client object at 0x7f20e6b2a650>, <__main__.Client object at 0x7f20e6b283d0>, <__main__.Client object at 0x7f20e6b0d050>, <__main__.Client object at 0x7f20e6b34a10>, <__main__.Client object at 0x7f20e6b366d0>, <__main__.Client object at 0x7f20e6bd2ed0>, <__main__.Client object at 0x7f20e6b28e50>, <__main__.Client object at 0x7f20e6bd3b90>, <__main__.Client object at 0x7f20e6b37e50>, <__main__.Client object at 0x7f20e6b2c650>, <__main__.Client object at 0x7f20e6bb4c50>, <__main__.Client object at 0x7f20e6bb5510>, <__main__.Client object at 0x7f20e6bb5450>, <__main__.Client object at 0x7f20e6b29850>, <__main__.Client object at 0x7f20e6b9fe90>, <__main__.Client object at 0x7f20e6bbac50>, <__main__.Client object at 0x7f20e6bb8b10>, <__main__.Client object at 0x7f20e6bbb4d0>, <__main__.Client object at 0x7f20e6bb85d0>, <__main__.Client object at 0x7f20e6bb8610>, <__main__.Client object at 0x7f20e6bba610>, <__main__.Client object at 0x7f20e6b0cb10>, <__main__.Client object at 0x7f20e6bffbd0>, <__main__.Client object at 0x7f20e6bb71d0>, <__main__.Client object at 0x7f20e6b2d590>, <__main__.Client object at 0x7f20e6bff410>, <__main__.Client object at 0x7f20e6bb7310>, <__main__.Client object at 0x7f20e6b2c150>, <__main__.Client object at 0x7f20e6bff950>, <__main__.Client object at 0x7f20e6bffa50>, <__main__.Client object at 0x7f20e6bfc790>, <__main__.Client object at 0x7f20ef6c7210>, <__main__.Client object at 0x7f20e6b2e110>], 'server': <__main__.Server object at 0x7f20e6b36d50>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'client_selection': 'ucb'}
