2023-06-29 08:59:49,185 INFO    MainThread:294849 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-29 08:59:49,186 INFO    MainThread:294849 [wandb_setup.py:_flush():76] Configure stats pid to 294849
2023-06-29 08:59:49,186 INFO    MainThread:294849 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-06-29 08:59:49,186 INFO    MainThread:294849 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-06-29 08:59:49,186 INFO    MainThread:294849 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-29 08:59:49,186 INFO    MainThread:294849 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-06-29 08:59:49,186 INFO    MainThread:294849 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230629_085949-gowfgk2f/logs/debug.log
2023-06-29 08:59:49,186 INFO    MainThread:294849 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230629_085949-gowfgk2f/logs/debug-internal.log
2023-06-29 08:59:49,186 INFO    MainThread:294849 [wandb_init.py:init():547] calling init triggers
2023-06-29 08:59:49,186 INFO    MainThread:294849 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'mnist', 'num_clients': 40, 'alpha': 1000000.0, 'beta': 100.0, 'clients': [<__main__.Client object at 0x7ff87d4223d0>, <__main__.Client object at 0x7ff88cc6b910>, <__main__.Client object at 0x7ff87d420750>, <__main__.Client object at 0x7ff87d49be50>, <__main__.Client object at 0x7ff887d0b210>, <__main__.Client object at 0x7ff85eec7910>, <__main__.Client object at 0x7ff85eec4a50>, <__main__.Client object at 0x7ff85eeda550>, <__main__.Client object at 0x7ff87d421810>, <__main__.Client object at 0x7ff85eeda9d0>, <__main__.Client object at 0x7ff85eef4cd0>, <__main__.Client object at 0x7ff85edd5950>, <__main__.Client object at 0x7ff87d410e10>, <__main__.Client object at 0x7ff85eecb710>, <__main__.Client object at 0x7ff85edcef50>, <__main__.Client object at 0x7ff85edcddd0>, <__main__.Client object at 0x7ff85edce9d0>, <__main__.Client object at 0x7ff85edcd910>, <__main__.Client object at 0x7ff85edcf310>, <__main__.Client object at 0x7ff85edb4810>, <__main__.Client object at 0x7ff85edb42d0>, <__main__.Client object at 0x7ff85edb6990>, <__main__.Client object at 0x7ff85edb6a10>, <__main__.Client object at 0x7ff87d47ec10>, <__main__.Client object at 0x7ff87d47e1d0>, <__main__.Client object at 0x7ff87d439410>, <__main__.Client object at 0x7ff85ee9fa10>, <__main__.Client object at 0x7ff85ee9f250>, <__main__.Client object at 0x7ff87d49bfd0>, <__main__.Client object at 0x7ff87d439610>, <__main__.Client object at 0x7ff85eec9410>, <__main__.Client object at 0x7ff87d400410>, <__main__.Client object at 0x7ff85edd5b50>, <__main__.Client object at 0x7ff87d403bd0>, <__main__.Client object at 0x7ff87d3d7e10>, <__main__.Client object at 0x7ff85edb53d0>, <__main__.Client object at 0x7ff85edcd050>, <__main__.Client object at 0x7ff85edcf550>, <__main__.Client object at 0x7ff85ed3e6d0>, <__main__.Client object at 0x7ff87d492a90>], 'server': <__main__.Server object at 0x7ff8881fb250>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'client_selection': 'ucb'}
2023-06-29 08:59:49,186 INFO    MainThread:294849 [wandb_init.py:init():596] starting backend
2023-06-29 08:59:49,186 INFO    MainThread:294849 [wandb_init.py:init():600] setting up manager
2023-06-29 08:59:49,188 INFO    MainThread:294849 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-29 08:59:49,190 INFO    MainThread:294849 [wandb_init.py:init():606] backend started and connected
2023-06-29 08:59:49,194 INFO    MainThread:294849 [wandb_init.py:init():703] updated telemetry
2023-06-29 08:59:49,199 INFO    MainThread:294849 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-29 08:59:50,581 INFO    MainThread:294849 [wandb_run.py:_on_init():2176] communicating current version
2023-06-29 08:59:50,760 INFO    MainThread:294849 [wandb_run.py:_on_init():2185] got version response 
2023-06-29 08:59:50,760 INFO    MainThread:294849 [wandb_init.py:init():787] starting run threads in backend
2023-06-29 08:59:54,388 INFO    MainThread:294849 [wandb_run.py:_console_start():2155] atexit reg
2023-06-29 08:59:54,388 INFO    MainThread:294849 [wandb_run.py:_redirect():2010] redirect: 3
2023-06-29 08:59:54,388 INFO    MainThread:294849 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-29 08:59:54,388 INFO    MainThread:294849 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-29 08:59:54,389 INFO    MainThread:294849 [wandb_init.py:init():828] run started, returning control to user process
2023-06-29 09:01:16,940 INFO    MainThread:294849 [wandb_run.py:_finish():1890] finishing run pringlesinghal/federated-learning-summary/gowfgk2f
2023-06-29 09:01:16,940 INFO    MainThread:294849 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-06-29 09:01:16,940 INFO    MainThread:294849 [wandb_run.py:_restore():2107] restore
2023-06-29 09:01:16,941 INFO    MainThread:294849 [wandb_run.py:_restore():2113] restore done
2023-06-29 09:01:23,111 INFO    MainThread:294849 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-29 09:01:23,120 INFO    MainThread:294849 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-29 09:01:23,124 INFO    MainThread:294849 [wandb_run.py:_footer_sync_info():3426] logging synced files
