2023-06-29 11:26:34,763 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-29 11:26:34,764 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Configure stats pid to 311656
2023-06-29 11:26:34,764 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-06-29 11:26:34,764 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-06-29 11:26:34,764 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-29 11:26:34,764 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-06-29 11:26:34,764 INFO    MainThread:311656 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230629_112634-waz1coc5/logs/debug.log
2023-06-29 11:26:34,764 INFO    MainThread:311656 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230629_112634-waz1coc5/logs/debug-internal.log
2023-06-29 11:26:34,764 INFO    MainThread:311656 [wandb_init.py:init():547] calling init triggers
2023-06-29 11:26:34,764 INFO    MainThread:311656 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'cifar10', 'num_clients': 40, 'alpha': 1000000.0, 'beta': 1, 'clients': [<__main__.Client object at 0x7fd50af22790>, <__main__.Client object at 0x7fd513aca410>, <__main__.Client object at 0x7fd50ae5d510>, <__main__.Client object at 0x7fd513a97ed0>, <__main__.Client object at 0x7fd513a62f50>, <__main__.Client object at 0x7fd513a17650>, <__main__.Client object at 0x7fd50adb1210>, <__main__.Client object at 0x7fd513a305d0>, <__main__.Client object at 0x7fd513a33f90>, <__main__.Client object at 0x7fd50af82590>, <__main__.Client object at 0x7fd50ae5dd90>, <__main__.Client object at 0x7fd50affea10>, <__main__.Client object at 0x7fd513a71e10>, <__main__.Client object at 0x7fd50ae068d0>, <__main__.Client object at 0x7fd513ad2cd0>, <__main__.Client object at 0x7fd513ad2c50>, <__main__.Client object at 0x7fd513ad3e50>, <__main__.Client object at 0x7fd50aeceb10>, <__main__.Client object at 0x7fd50aeaa8d0>, <__main__.Client object at 0x7fd50afb3310>, <__main__.Client object at 0x7fd50af75ed0>, <__main__.Client object at 0x7fd50af28950>, <__main__.Client object at 0x7fd50b6e6410>, <__main__.Client object at 0x7fd50ae5c950>, <__main__.Client object at 0x7fd513a4cc90>, <__main__.Client object at 0x7fd50af9ff10>, <__main__.Client object at 0x7fd517dd5550>, <__main__.Client object at 0x7fd50af14990>, <__main__.Client object at 0x7fd50aecd950>, <__main__.Client object at 0x7fd50af757d0>, <__main__.Client object at 0x7fd50b6e60d0>, <__main__.Client object at 0x7fd50b6e6150>, <__main__.Client object at 0x7fd50af93490>, <__main__.Client object at 0x7fd50afb31d0>, <__main__.Client object at 0x7fd50af93f50>, <__main__.Client object at 0x7fd50af93e90>, <__main__.Client object at 0x7fd513ab5e90>, <__main__.Client object at 0x7fd50af8f550>, <__main__.Client object at 0x7fd50afb3b50>, <__main__.Client object at 0x7fd50addbb50>], 'server': <__main__.Server object at 0x7fd513bff2d0>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'client_selection': 'S-FedAvg', 'algo-alpha': 0.30000000000000004, 'algo-beta': 0.7}
2023-06-29 11:26:34,764 INFO    MainThread:311656 [wandb_init.py:init():596] starting backend
2023-06-29 11:26:34,764 INFO    MainThread:311656 [wandb_init.py:init():600] setting up manager
2023-06-29 11:26:34,766 INFO    MainThread:311656 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-29 11:26:34,768 INFO    MainThread:311656 [wandb_init.py:init():606] backend started and connected
2023-06-29 11:26:34,772 INFO    MainThread:311656 [wandb_init.py:init():703] updated telemetry
2023-06-29 11:26:34,778 INFO    MainThread:311656 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-29 11:26:36,163 INFO    MainThread:311656 [wandb_run.py:_on_init():2176] communicating current version
2023-06-29 11:26:36,306 INFO    MainThread:311656 [wandb_run.py:_on_init():2185] got version response 
2023-06-29 11:26:36,307 INFO    MainThread:311656 [wandb_init.py:init():787] starting run threads in backend
2023-06-29 11:26:39,899 INFO    MainThread:311656 [wandb_run.py:_console_start():2155] atexit reg
2023-06-29 11:26:39,899 INFO    MainThread:311656 [wandb_run.py:_redirect():2010] redirect: 3
2023-06-29 11:26:39,900 INFO    MainThread:311656 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-29 11:26:39,900 INFO    MainThread:311656 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-29 11:26:39,900 INFO    MainThread:311656 [wandb_init.py:init():828] run started, returning control to user process
2023-06-29 11:28:16,337 INFO    MainThread:311656 [wandb_run.py:_finish():1890] finishing run pringlesinghal/federated-learning-summary/waz1coc5
2023-06-29 11:28:16,337 INFO    MainThread:311656 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-06-29 11:28:16,337 INFO    MainThread:311656 [wandb_run.py:_restore():2107] restore
2023-06-29 11:28:16,337 INFO    MainThread:311656 [wandb_run.py:_restore():2113] restore done
2023-06-29 11:28:22,069 INFO    MainThread:311656 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-29 11:28:22,078 INFO    MainThread:311656 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-29 11:28:22,082 INFO    MainThread:311656 [wandb_run.py:_footer_sync_info():3426] logging synced files
