2023-06-29 11:30:06,209 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-29 11:30:06,210 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Configure stats pid to 311656
2023-06-29 11:30:06,210 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-06-29 11:30:06,210 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-06-29 11:30:06,210 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-29 11:30:06,210 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-06-29 11:30:06,210 INFO    MainThread:311656 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230629_113006-69wst9gf/logs/debug.log
2023-06-29 11:30:06,210 INFO    MainThread:311656 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230629_113006-69wst9gf/logs/debug-internal.log
2023-06-29 11:30:06,210 INFO    MainThread:311656 [wandb_init.py:init():547] calling init triggers
2023-06-29 11:30:06,210 INFO    MainThread:311656 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'cifar10', 'num_clients': 40, 'alpha': 1000000.0, 'beta': 1, 'clients': [<__main__.Client object at 0x7fd50af29ed0>, <__main__.Client object at 0x7fd50af2add0>, <__main__.Client object at 0x7fd513a62510>, <__main__.Client object at 0x7fd50afd0490>, <__main__.Client object at 0x7fd50afd0f10>, <__main__.Client object at 0x7fd50af83590>, <__main__.Client object at 0x7fd513ab0ad0>, <__main__.Client object at 0x7fd50ae80350>, <__main__.Client object at 0x7fd50ae06e50>, <__main__.Client object at 0x7fd513a329d0>, <__main__.Client object at 0x7fd513a85590>, <__main__.Client object at 0x7fd513bffbd0>, <__main__.Client object at 0x7fd50afb0950>, <__main__.Client object at 0x7fd50afac850>, <__main__.Client object at 0x7fd50af93c50>, <__main__.Client object at 0x7fd50af6fb90>, <__main__.Client object at 0x7fd50aee3a10>, <__main__.Client object at 0x7fd50b6e7310>, <__main__.Client object at 0x7fd50ae82910>, <__main__.Client object at 0x7fd50afd1d10>, <__main__.Client object at 0x7fd50aee3c10>, <__main__.Client object at 0x7fd50b6f3250>, <__main__.Client object at 0x7fd50b6f3390>, <__main__.Client object at 0x7fd50af6ff10>, <__main__.Client object at 0x7fd50b6e5550>, <__main__.Client object at 0x7fd513a4f490>, <__main__.Client object at 0x7fd50afff5d0>, <__main__.Client object at 0x7fd50af6ce10>, <__main__.Client object at 0x7fd50b6b6d10>, <__main__.Client object at 0x7fd50b6b66d0>, <__main__.Client object at 0x7fd50b6b5710>, <__main__.Client object at 0x7fd50b6b7d10>, <__main__.Client object at 0x7fd50b71f290>, <__main__.Client object at 0x7fd513a94290>, <__main__.Client object at 0x7fd50affd790>, <__main__.Client object at 0x7fd50b6b4e10>, <__main__.Client object at 0x7fd50b71e990>, <__main__.Client object at 0x7fd50ae36690>, <__main__.Client object at 0x7fd50aebcb50>, <__main__.Client object at 0x7fd50af8c2d0>], 'server': <__main__.Server object at 0x7fd50af2b950>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'client_selection': 'S-FedAvg', 'algo-alpha': 0.30000000000000004, 'algo-beta': 0.7}
2023-06-29 11:30:06,210 INFO    MainThread:311656 [wandb_init.py:init():596] starting backend
2023-06-29 11:30:06,210 INFO    MainThread:311656 [wandb_init.py:init():600] setting up manager
2023-06-29 11:30:06,212 INFO    MainThread:311656 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-29 11:30:06,214 INFO    MainThread:311656 [wandb_init.py:init():606] backend started and connected
2023-06-29 11:30:06,218 INFO    MainThread:311656 [wandb_init.py:init():703] updated telemetry
2023-06-29 11:30:06,224 INFO    MainThread:311656 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-29 11:30:07,686 INFO    MainThread:311656 [wandb_run.py:_on_init():2176] communicating current version
2023-06-29 11:30:07,841 INFO    MainThread:311656 [wandb_run.py:_on_init():2185] got version response 
2023-06-29 11:30:07,841 INFO    MainThread:311656 [wandb_init.py:init():787] starting run threads in backend
2023-06-29 11:30:11,477 INFO    MainThread:311656 [wandb_run.py:_console_start():2155] atexit reg
2023-06-29 11:30:11,477 INFO    MainThread:311656 [wandb_run.py:_redirect():2010] redirect: 3
2023-06-29 11:30:11,477 INFO    MainThread:311656 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-29 11:30:11,477 INFO    MainThread:311656 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-29 11:30:11,478 INFO    MainThread:311656 [wandb_init.py:init():828] run started, returning control to user process
2023-06-29 11:31:47,799 INFO    MainThread:311656 [wandb_run.py:_finish():1890] finishing run pringlesinghal/federated-learning-summary/69wst9gf
2023-06-29 11:31:47,799 INFO    MainThread:311656 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-06-29 11:31:47,799 INFO    MainThread:311656 [wandb_run.py:_restore():2107] restore
2023-06-29 11:31:47,799 INFO    MainThread:311656 [wandb_run.py:_restore():2113] restore done
2023-06-29 11:31:54,575 INFO    MainThread:311656 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-29 11:31:54,584 INFO    MainThread:311656 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-29 11:31:54,587 INFO    MainThread:311656 [wandb_run.py:_footer_sync_info():3426] logging synced files
