2023-06-29 12:15:32,244 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-29 12:15:32,245 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Configure stats pid to 311656
2023-06-29 12:15:32,245 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-06-29 12:15:32,245 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-06-29 12:15:32,245 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-29 12:15:32,245 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-06-29 12:15:32,245 INFO    MainThread:311656 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230629_121532-0vv5lsk1/logs/debug.log
2023-06-29 12:15:32,245 INFO    MainThread:311656 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230629_121532-0vv5lsk1/logs/debug-internal.log
2023-06-29 12:15:32,245 INFO    MainThread:311656 [wandb_init.py:init():547] calling init triggers
2023-06-29 12:15:32,245 INFO    MainThread:311656 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'cifar10', 'num_clients': 40, 'alpha': 1000000.0, 'beta': 1, 'clients': [<__main__.Client object at 0x7fd5c5df9850>, <__main__.Client object at 0x7fd5c5df9790>, <__main__.Client object at 0x7fd5c5df97d0>, <__main__.Client object at 0x7fd50ae11710>, <__main__.Client object at 0x7fd50ae104d0>, <__main__.Client object at 0x7fd50b5e75d0>, <__main__.Client object at 0x7fd50b5e7150>, <__main__.Client object at 0x7fd50b5e56d0>, <__main__.Client object at 0x7fd50ae34090>, <__main__.Client object at 0x7fd50b5e5750>, <__main__.Client object at 0x7fd51c2abf10>, <__main__.Client object at 0x7fd513acd2d0>, <__main__.Client object at 0x7fd50af21d10>, <__main__.Client object at 0x7fd50af21e10>, <__main__.Client object at 0x7fd50af21390>, <__main__.Client object at 0x7fd50af23990>, <__main__.Client object at 0x7fd50ad70c10>, <__main__.Client object at 0x7fd50ad707d0>, <__main__.Client object at 0x7fd50ad72f90>, <__main__.Client object at 0x7fd50af200d0>, <__main__.Client object at 0x7fd513ab0c90>, <__main__.Client object at 0x7fd50af21750>, <__main__.Client object at 0x7fd513ab2e90>, <__main__.Client object at 0x7fd50b5e4b10>, <__main__.Client object at 0x7fd513ab2d50>, <__main__.Client object at 0x7fd516ddd150>, <__main__.Client object at 0x7fd50b5e6790>, <__main__.Client object at 0x7fd50ae35910>, <__main__.Client object at 0x7fd50b5e5990>, <__main__.Client object at 0x7fd50aecc810>, <__main__.Client object at 0x7fd50b5e7190>, <__main__.Client object at 0x7fd51c388190>, <__main__.Client object at 0x7fd516edee50>, <__main__.Client object at 0x7fd513a8d610>, <__main__.Client object at 0x7fd513a8f150>, <__main__.Client object at 0x7fd50b5e2c50>, <__main__.Client object at 0x7fd50b5e35d0>, <__main__.Client object at 0x7fd50af238d0>, <__main__.Client object at 0x7fd50af22e50>, <__main__.Client object at 0x7fd50af22a10>], 'server': <__main__.Server object at 0x7fd50af22950>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'algorithm': 'Power of Choice', 'decay_factor': 0.9}
2023-06-29 12:15:32,245 INFO    MainThread:311656 [wandb_init.py:init():596] starting backend
2023-06-29 12:15:32,245 INFO    MainThread:311656 [wandb_init.py:init():600] setting up manager
2023-06-29 12:15:32,247 INFO    MainThread:311656 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-29 12:15:32,249 INFO    MainThread:311656 [wandb_init.py:init():606] backend started and connected
2023-06-29 12:15:32,253 INFO    MainThread:311656 [wandb_init.py:init():703] updated telemetry
2023-06-29 12:15:32,258 INFO    MainThread:311656 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-29 12:15:33,746 INFO    MainThread:311656 [wandb_run.py:_on_init():2176] communicating current version
2023-06-29 12:15:33,910 INFO    MainThread:311656 [wandb_run.py:_on_init():2185] got version response 
2023-06-29 12:15:33,910 INFO    MainThread:311656 [wandb_init.py:init():787] starting run threads in backend
2023-06-29 12:15:38,793 INFO    MainThread:311656 [wandb_run.py:_console_start():2155] atexit reg
2023-06-29 12:15:38,794 INFO    MainThread:311656 [wandb_run.py:_redirect():2010] redirect: 3
2023-06-29 12:15:38,794 INFO    MainThread:311656 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-29 12:15:38,794 INFO    MainThread:311656 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-29 12:15:38,795 INFO    MainThread:311656 [wandb_init.py:init():828] run started, returning control to user process
2023-06-29 12:17:02,041 INFO    MainThread:311656 [wandb_run.py:_finish():1890] finishing run pringlesinghal/federated-learning-summary/0vv5lsk1
2023-06-29 12:17:02,041 INFO    MainThread:311656 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-06-29 12:17:02,041 INFO    MainThread:311656 [wandb_run.py:_restore():2107] restore
2023-06-29 12:17:02,041 INFO    MainThread:311656 [wandb_run.py:_restore():2113] restore done
2023-06-29 12:17:07,593 INFO    MainThread:311656 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-29 12:17:07,594 INFO    MainThread:311656 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-29 12:17:07,597 INFO    MainThread:311656 [wandb_run.py:_footer_sync_info():3426] logging synced files
