2023-06-29 12:42:12,859 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-29 12:42:12,860 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Configure stats pid to 311656
2023-06-29 12:42:12,860 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-06-29 12:42:12,860 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-06-29 12:42:12,860 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-29 12:42:12,860 INFO    MainThread:311656 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-06-29 12:42:12,860 INFO    MainThread:311656 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230629_124212-lb8vuqp8/logs/debug.log
2023-06-29 12:42:12,860 INFO    MainThread:311656 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230629_124212-lb8vuqp8/logs/debug-internal.log
2023-06-29 12:42:12,860 INFO    MainThread:311656 [wandb_init.py:init():547] calling init triggers
2023-06-29 12:42:12,860 INFO    MainThread:311656 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'cifar10', 'num_clients': 40, 'alpha': 1000000.0, 'beta': 1, 'clients': [<__main__.Client object at 0x7fd50af2ba50>, <__main__.Client object at 0x7fd513dd41d0>, <__main__.Client object at 0x7fd50af2ac50>, <__main__.Client object at 0x7fd513ab2750>, <__main__.Client object at 0x7fd50ae37210>, <__main__.Client object at 0x7fd513a54210>, <__main__.Client object at 0x7fd50b6e73d0>, <__main__.Client object at 0x7fd50b69e310>, <__main__.Client object at 0x7fd50b69d8d0>, <__main__.Client object at 0x7fd50ae06e50>, <__main__.Client object at 0x7fd513ac8390>, <__main__.Client object at 0x7fd50aecf010>, <__main__.Client object at 0x7fd50b6ecc90>, <__main__.Client object at 0x7fd513a16650>, <__main__.Client object at 0x7fd50b74e650>, <__main__.Client object at 0x7fd50ae825d0>, <__main__.Client object at 0x7fd513ab2510>, <__main__.Client object at 0x7fd50b6a34d0>, <__main__.Client object at 0x7fd50b6a3d90>, <__main__.Client object at 0x7fd50b6edf50>, <__main__.Client object at 0x7fd50b6a1b50>, <__main__.Client object at 0x7fd50af8e9d0>, <__main__.Client object at 0x7fd513a4d290>, <__main__.Client object at 0x7fd50b6a1290>, <__main__.Client object at 0x7fd50ad8f110>, <__main__.Client object at 0x7fd50af29890>, <__main__.Client object at 0x7fd50b6a00d0>, <__main__.Client object at 0x7fd50afd3750>, <__main__.Client object at 0x7fd50af2a110>, <__main__.Client object at 0x7fd513a30a10>, <__main__.Client object at 0x7fd513aefc90>, <__main__.Client object at 0x7fd50af6e190>, <__main__.Client object at 0x7fd513a555d0>, <__main__.Client object at 0x7fd50b036510>, <__main__.Client object at 0x7fd513a57490>, <__main__.Client object at 0x7fd50aecd7d0>, <__main__.Client object at 0x7fd513a55510>, <__main__.Client object at 0x7fd50b69e810>, <__main__.Client object at 0x7fd50af8d750>, <__main__.Client object at 0x7fd50b6ee4d0>], 'server': <__main__.Server object at 0x7fd50b6e7b50>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'algorithm': 'FedProx', 'mu': 0.1}
2023-06-29 12:42:12,860 INFO    MainThread:311656 [wandb_init.py:init():596] starting backend
2023-06-29 12:42:12,861 INFO    MainThread:311656 [wandb_init.py:init():600] setting up manager
2023-06-29 12:42:12,862 INFO    MainThread:311656 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-29 12:42:12,864 INFO    MainThread:311656 [wandb_init.py:init():606] backend started and connected
2023-06-29 12:42:12,868 INFO    MainThread:311656 [wandb_init.py:init():703] updated telemetry
2023-06-29 12:42:12,874 INFO    MainThread:311656 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-29 12:42:14,331 INFO    MainThread:311656 [wandb_run.py:_on_init():2176] communicating current version
2023-06-29 12:42:14,510 INFO    MainThread:311656 [wandb_run.py:_on_init():2185] got version response 
2023-06-29 12:42:14,510 INFO    MainThread:311656 [wandb_init.py:init():787] starting run threads in backend
2023-06-29 12:42:19,016 INFO    MainThread:311656 [wandb_run.py:_console_start():2155] atexit reg
2023-06-29 12:42:19,017 INFO    MainThread:311656 [wandb_run.py:_redirect():2010] redirect: 3
2023-06-29 12:42:19,017 INFO    MainThread:311656 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-29 12:42:19,017 INFO    MainThread:311656 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-29 12:42:19,018 INFO    MainThread:311656 [wandb_init.py:init():828] run started, returning control to user process
2023-06-29 12:44:37,575 INFO    MainThread:311656 [wandb_run.py:_finish():1890] finishing run pringlesinghal/federated-learning-summary/lb8vuqp8
2023-06-29 12:44:37,575 INFO    MainThread:311656 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-06-29 12:44:37,575 INFO    MainThread:311656 [wandb_run.py:_restore():2107] restore
2023-06-29 12:44:37,575 INFO    MainThread:311656 [wandb_run.py:_restore():2113] restore done
2023-06-29 12:44:43,207 INFO    MainThread:311656 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-29 12:44:43,207 INFO    MainThread:311656 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-29 12:44:43,211 INFO    MainThread:311656 [wandb_run.py:_footer_sync_info():3426] logging synced files
