2023-07-03 13:37:25,876 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-07-03 13:37:25,877 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Configure stats pid to 956563
2023-07-03 13:37:25,877 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-07-03 13:37:25,877 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-07-03 13:37:25,877 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-07-03 13:37:25,877 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-07-03 13:37:25,877 INFO    MainThread:956563 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230703_133725-9tn0ak20/logs/debug.log
2023-07-03 13:37:25,877 INFO    MainThread:956563 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230703_133725-9tn0ak20/logs/debug-internal.log
2023-07-03 13:37:25,877 INFO    MainThread:956563 [wandb_init.py:init():547] calling init triggers
2023-07-03 13:37:25,877 INFO    MainThread:956563 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'cifar10', 'num_clients': 50, 'alpha': 0.01, 'beta': 100.0, 'clients': [<__main__.Client object at 0x7f4bd1f87010>, <__main__.Client object at 0x7f4bc5790c10>, <__main__.Client object at 0x7f4bce37fe90>, <__main__.Client object at 0x7f4bce2f4590>, <__main__.Client object at 0x7f4bce4e3b10>, <__main__.Client object at 0x7f4bce2c43d0>, <__main__.Client object at 0x7f4bce2c6810>, <__main__.Client object at 0x7f4bce2c5b10>, <__main__.Client object at 0x7f4bce2c5490>, <__main__.Client object at 0x7f4bd1f86b90>, <__main__.Client object at 0x7f4bc5e0e110>, <__main__.Client object at 0x7f4bc5e0fb90>, <__main__.Client object at 0x7f4bc5587910>, <__main__.Client object at 0x7f4bce2a1390>, <__main__.Client object at 0x7f4bc5f18750>, <__main__.Client object at 0x7f4bc5f1b4d0>, <__main__.Client object at 0x7f4bc5e9c990>, <__main__.Client object at 0x7f4bc5f18ed0>, <__main__.Client object at 0x7f4bce2c6e90>, <__main__.Client object at 0x7f4bc5df5890>, <__main__.Client object at 0x7f4bce24b210>, <__main__.Client object at 0x7f4bc5e31990>, <__main__.Client object at 0x7f4bc5e31950>, <__main__.Client object at 0x7f4bce24bf50>, <__main__.Client object at 0x7f4bc5584f50>, <__main__.Client object at 0x7f4bc5f1a550>, <__main__.Client object at 0x7f4bc5da3750>, <__main__.Client object at 0x7f4bc5da2ad0>, <__main__.Client object at 0x7f4bc5da1a90>, <__main__.Client object at 0x7f4bc5e0d090>, <__main__.Client object at 0x7f4bc5df54d0>, <__main__.Client object at 0x7f4bc5e0d790>, <__main__.Client object at 0x7f4bc57ac850>, <__main__.Client object at 0x7f4bc5df6910>, <__main__.Client object at 0x7f4bc5e9ce10>, <__main__.Client object at 0x7f4bc5f19e50>, <__main__.Client object at 0x7f4bce273dd0>, <__main__.Client object at 0x7f4bc5586ad0>, <__main__.Client object at 0x7f4bc5da1810>, <__main__.Client object at 0x7f4bce2c6050>, <__main__.Client object at 0x7f4bce2c75d0>, <__main__.Client object at 0x7f4bc5587fd0>, <__main__.Client object at 0x7f4bc5e0c550>, <__main__.Client object at 0x7f4bc5df5210>, <__main__.Client object at 0x7f4bce2c7050>, <__main__.Client object at 0x7f4bce2c68d0>, <__main__.Client object at 0x7f4bc57ad1d0>, <__main__.Client object at 0x7f4bce248ed0>, <__main__.Client object at 0x7f4bc5da2550>, <__main__.Client object at 0x7f4bc5f1b5d0>], 'server': <__main__.Server object at 0x7f4bc5f19e90>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'client_selection': 'ucb'}
2023-07-03 13:37:25,877 INFO    MainThread:956563 [wandb_init.py:init():596] starting backend
2023-07-03 13:37:25,877 INFO    MainThread:956563 [wandb_init.py:init():600] setting up manager
2023-07-03 13:37:25,879 INFO    MainThread:956563 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-07-03 13:37:25,881 INFO    MainThread:956563 [wandb_init.py:init():606] backend started and connected
2023-07-03 13:37:25,885 INFO    MainThread:956563 [wandb_init.py:init():703] updated telemetry
2023-07-03 13:37:25,890 INFO    MainThread:956563 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-07-03 13:37:27,337 INFO    MainThread:956563 [wandb_run.py:_on_init():2176] communicating current version
