2023-07-03 15:56:51,343 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-07-03 15:56:51,344 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Configure stats pid to 956563
2023-07-03 15:56:51,344 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-07-03 15:56:51,344 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-07-03 15:56:51,344 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-07-03 15:56:51,344 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-07-03 15:56:51,344 INFO    MainThread:956563 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230703_155651-c5ptzand/logs/debug.log
2023-07-03 15:56:51,344 INFO    MainThread:956563 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230703_155651-c5ptzand/logs/debug-internal.log
2023-07-03 15:56:51,344 INFO    MainThread:956563 [wandb_init.py:init():547] calling init triggers
2023-07-03 15:56:51,344 INFO    MainThread:956563 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'cifar10', 'num_clients': 50, 'alpha': 0.01, 'beta': 1, 'clients': [<__main__.Client object at 0x7f4bd70832d0>, <__main__.Client object at 0x7f4bce370710>, <__main__.Client object at 0x7f4bc5e45a10>, <__main__.Client object at 0x7f4bce2c6cd0>, <__main__.Client object at 0x7f4bc55c3190>, <__main__.Client object at 0x7f4bc5843f90>, <__main__.Client object at 0x7f4bd743b110>, <__main__.Client object at 0x7f4bc5840ed0>, <__main__.Client object at 0x7f4bc5f78f50>, <__main__.Client object at 0x7f4c7017ba50>, <__main__.Client object at 0x7f4bc5f78490>, <__main__.Client object at 0x7f4bce2967d0>, <__main__.Client object at 0x7f4bc578cc50>, <__main__.Client object at 0x7f4bce296790>, <__main__.Client object at 0x7f4bc5de4dd0>, <__main__.Client object at 0x7f4bc5ce4210>, <__main__.Client object at 0x7f4bc5ce5ed0>, <__main__.Client object at 0x7f4bc5ddd8d0>, <__main__.Client object at 0x7f4bc5793b50>, <__main__.Client object at 0x7f4bc58415d0>, <__main__.Client object at 0x7f4bc575df90>, <__main__.Client object at 0x7f4bc575f610>, <__main__.Client object at 0x7f4bc55ea710>, <__main__.Client object at 0x7f4bc5c9e490>, <__main__.Client object at 0x7f4bc55e5110>, <__main__.Client object at 0x7f4bc5ce5a90>, <__main__.Client object at 0x7f4bc5843510>, <__main__.Client object at 0x7f4bce2cd610>, <__main__.Client object at 0x7f4bc575c190>, <__main__.Client object at 0x7f4bc5e396d0>, <__main__.Client object at 0x7f4c805d1890>, <__main__.Client object at 0x7f4bc5f7b690>, <__main__.Client object at 0x7f4bc5f7ac90>, <__main__.Client object at 0x7f4bd6f08650>, <__main__.Client object at 0x7f4bce2c51d0>, <__main__.Client object at 0x7f4bc5f39010>, <__main__.Client object at 0x7f4bc5c9e850>, <__main__.Client object at 0x7f4bc5ddea50>, <__main__.Client object at 0x7f4bc55e8790>, <__main__.Client object at 0x7f4bc5f7af90>, <__main__.Client object at 0x7f4bc55ea0d0>, <__main__.Client object at 0x7f4bc55e9250>, <__main__.Client object at 0x7f4bc5822950>, <__main__.Client object at 0x7f4bc55e8310>, <__main__.Client object at 0x7f4bce24b710>, <__main__.Client object at 0x7f4bc55ebe90>, <__main__.Client object at 0x7f4bc55eb810>, <__main__.Client object at 0x7f4bc55e97d0>, <__main__.Client object at 0x7f4bc55eac10>, <__main__.Client object at 0x7f4bc5e3a710>], 'server': <__main__.Server object at 0x7f4bc5790a50>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'client_selection': 'S-FedAvg', 'algo-alpha': 0.6000000000000001, 'algo-beta': 0.3999999999999999}
2023-07-03 15:56:51,344 INFO    MainThread:956563 [wandb_init.py:init():596] starting backend
2023-07-03 15:56:51,344 INFO    MainThread:956563 [wandb_init.py:init():600] setting up manager
2023-07-03 15:56:51,346 INFO    MainThread:956563 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-07-03 15:56:51,348 INFO    MainThread:956563 [wandb_init.py:init():606] backend started and connected
2023-07-03 15:56:51,352 INFO    MainThread:956563 [wandb_init.py:init():703] updated telemetry
2023-07-03 15:56:51,358 INFO    MainThread:956563 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-07-03 15:56:52,716 INFO    MainThread:956563 [wandb_run.py:_on_init():2176] communicating current version
2023-07-03 15:56:52,888 INFO    MainThread:956563 [wandb_run.py:_on_init():2185] got version response 
2023-07-03 15:56:52,888 INFO    MainThread:956563 [wandb_init.py:init():787] starting run threads in backend
2023-07-03 15:56:57,299 INFO    MainThread:956563 [wandb_run.py:_console_start():2155] atexit reg
2023-07-03 15:56:57,300 INFO    MainThread:956563 [wandb_run.py:_redirect():2010] redirect: 3
2023-07-03 15:56:57,300 INFO    MainThread:956563 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-07-03 15:56:57,300 INFO    MainThread:956563 [wandb_run.py:_redirect():2100] Redirects installed.
2023-07-03 15:56:57,301 INFO    MainThread:956563 [wandb_init.py:init():828] run started, returning control to user process
2023-07-03 15:58:45,371 INFO    MainThread:956563 [wandb_run.py:_finish():1890] finishing run pringlesinghal/federated-learning-summary/c5ptzand
2023-07-03 15:58:45,371 INFO    MainThread:956563 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-07-03 15:58:45,371 INFO    MainThread:956563 [wandb_run.py:_restore():2107] restore
2023-07-03 15:58:45,371 INFO    MainThread:956563 [wandb_run.py:_restore():2113] restore done
2023-07-03 15:58:51,683 INFO    MainThread:956563 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-07-03 15:58:51,694 INFO    MainThread:956563 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-07-03 15:58:51,699 INFO    MainThread:956563 [wandb_run.py:_footer_sync_info():3426] logging synced files
