2023-07-03 16:49:30,366 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-07-03 16:49:30,367 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Configure stats pid to 956563
2023-07-03 16:49:30,367 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-07-03 16:49:30,367 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-07-03 16:49:30,367 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-07-03 16:49:30,367 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-07-03 16:49:30,367 INFO    MainThread:956563 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230703_164930-ahctgtri/logs/debug.log
2023-07-03 16:49:30,367 INFO    MainThread:956563 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230703_164930-ahctgtri/logs/debug-internal.log
2023-07-03 16:49:30,367 INFO    MainThread:956563 [wandb_init.py:init():547] calling init triggers
2023-07-03 16:49:30,367 INFO    MainThread:956563 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'cifar10', 'num_clients': 50, 'alpha': 0.01, 'beta': 1, 'clients': [<__main__.Client object at 0x7f4bd70207d0>, <__main__.Client object at 0x7f4bd6d8bf10>, <__main__.Client object at 0x7f4bce273a90>, <__main__.Client object at 0x7f4bce2c4650>, <__main__.Client object at 0x7f4bce2dedd0>, <__main__.Client object at 0x7f4bd1968d10>, <__main__.Client object at 0x7f4bc5e397d0>, <__main__.Client object at 0x7f4bce282410>, <__main__.Client object at 0x7f4bce2a2750>, <__main__.Client object at 0x7f4bce24b790>, <__main__.Client object at 0x7f4bce2c7710>, <__main__.Client object at 0x7f4bc55af390>, <__main__.Client object at 0x7f4bc55ae3d0>, <__main__.Client object at 0x7f4bc5f3a890>, <__main__.Client object at 0x7f4bc55af710>, <__main__.Client object at 0x7f4bce2cda90>, <__main__.Client object at 0x7f4bc55ae050>, <__main__.Client object at 0x7f4bce2cdd10>, <__main__.Client object at 0x7f4bc55aea10>, <__main__.Client object at 0x7f4bc5e96850>, <__main__.Client object at 0x7f4bc5e5d650>, <__main__.Client object at 0x7f4bc5e97e90>, <__main__.Client object at 0x7f4bc5e5da10>, <__main__.Client object at 0x7f4bc55afe10>, <__main__.Client object at 0x7f4bc5e5f710>, <__main__.Client object at 0x7f4bc5e4b690>, <__main__.Client object at 0x7f4bc5e4a1d0>, <__main__.Client object at 0x7f4bce273dd0>, <__main__.Client object at 0x7f4bc5e48950>, <__main__.Client object at 0x7f4bc5e48ad0>, <__main__.Client object at 0x7f4bce24ba90>, <__main__.Client object at 0x7f4bc5f89190>, <__main__.Client object at 0x7f4bc5f8ab50>, <__main__.Client object at 0x7f4bc5f88590>, <__main__.Client object at 0x7f4bc5f3a710>, <__main__.Client object at 0x7f4bc5f8a710>, <__main__.Client object at 0x7f4bc5f8b690>, <__main__.Client object at 0x7f4bc5f89e10>, <__main__.Client object at 0x7f4bc5f8a8d0>, <__main__.Client object at 0x7f4bc5f3b2d0>, <__main__.Client object at 0x7f4bce2a1ed0>, <__main__.Client object at 0x7f4bc5ee00d0>, <__main__.Client object at 0x7f4bce24bf50>, <__main__.Client object at 0x7f4bc5f383d0>, <__main__.Client object at 0x7f4bc5e49a90>, <__main__.Client object at 0x7f4bc5ee29d0>, <__main__.Client object at 0x7f4bc5ee16d0>, <__main__.Client object at 0x7f4bce2a0f90>, <__main__.Client object at 0x7f4bce24b150>, <__main__.Client object at 0x7f4bc5ee1450>], 'server': <__main__.Server object at 0x7f4bce292090>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'client_selection': 'S-FedAvg', 'algo-alpha': 0.9, 'algo-beta': 0.09999999999999998}
2023-07-03 16:49:30,367 INFO    MainThread:956563 [wandb_init.py:init():596] starting backend
2023-07-03 16:49:30,367 INFO    MainThread:956563 [wandb_init.py:init():600] setting up manager
2023-07-03 16:49:30,369 INFO    MainThread:956563 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-07-03 16:49:30,371 INFO    MainThread:956563 [wandb_init.py:init():606] backend started and connected
2023-07-03 16:49:30,375 INFO    MainThread:956563 [wandb_init.py:init():703] updated telemetry
2023-07-03 16:49:30,381 INFO    MainThread:956563 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-07-03 16:49:31,766 INFO    MainThread:956563 [wandb_run.py:_on_init():2176] communicating current version
2023-07-03 16:49:31,937 INFO    MainThread:956563 [wandb_run.py:_on_init():2185] got version response 
2023-07-03 16:49:31,937 INFO    MainThread:956563 [wandb_init.py:init():787] starting run threads in backend
2023-07-03 16:49:35,686 INFO    MainThread:956563 [wandb_run.py:_console_start():2155] atexit reg
2023-07-03 16:49:35,687 INFO    MainThread:956563 [wandb_run.py:_redirect():2010] redirect: 3
2023-07-03 16:49:35,687 INFO    MainThread:956563 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-07-03 16:49:35,687 INFO    MainThread:956563 [wandb_run.py:_redirect():2100] Redirects installed.
2023-07-03 16:49:35,688 INFO    MainThread:956563 [wandb_init.py:init():828] run started, returning control to user process
2023-07-03 16:51:23,030 INFO    MainThread:956563 [wandb_run.py:_finish():1890] finishing run pringlesinghal/federated-learning-summary/ahctgtri
2023-07-03 16:51:23,030 INFO    MainThread:956563 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-07-03 16:51:23,030 INFO    MainThread:956563 [wandb_run.py:_restore():2107] restore
2023-07-03 16:51:23,030 INFO    MainThread:956563 [wandb_run.py:_restore():2113] restore done
2023-07-03 16:51:28,663 INFO    MainThread:956563 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-07-03 16:51:28,674 INFO    MainThread:956563 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-07-03 16:51:28,678 INFO    MainThread:956563 [wandb_run.py:_footer_sync_info():3426] logging synced files
