2023-07-03 17:36:01,040 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-07-03 17:36:01,041 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Configure stats pid to 956563
2023-07-03 17:36:01,041 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-07-03 17:36:01,041 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/settings
2023-07-03 17:36:01,041 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-07-03 17:36:01,041 INFO    MainThread:956563 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/ubuntu/Projects/Goal_Oriented_Federated_Learning/main.py'}
2023-07-03 17:36:01,041 INFO    MainThread:956563 [wandb_init.py:_log_setup():507] Logging user logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230703_173601-xakls01b/logs/debug.log
2023-07-03 17:36:01,041 INFO    MainThread:956563 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ubuntu/Projects/Goal_Oriented_Federated_Learning/wandb/run-20230703_173601-xakls01b/logs/debug-internal.log
2023-07-03 17:36:01,041 INFO    MainThread:956563 [wandb_init.py:init():547] calling init triggers
2023-07-03 17:36:01,041 INFO    MainThread:956563 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'device': device(type='cuda'), 'dataset': 'cifar10', 'num_clients': 50, 'alpha': 0.01, 'beta': 1, 'clients': [<__main__.Client object at 0x7f4c805d1790>, <__main__.Client object at 0x7f4bc5cec990>, <__main__.Client object at 0x7f4bd6ea35d0>, <__main__.Client object at 0x7f4bc5e974d0>, <__main__.Client object at 0x7f4bc5e4b4d0>, <__main__.Client object at 0x7f4bce262610>, <__main__.Client object at 0x7f4bc5e00650>, <__main__.Client object at 0x7f4bc584bc50>, <__main__.Client object at 0x7f4bc5f195d0>, <__main__.Client object at 0x7f4bc58220d0>, <__main__.Client object at 0x7f4bc5ce5b50>, <__main__.Client object at 0x7f4bc5e4b210>, <__main__.Client object at 0x7f4bc5cbe090>, <__main__.Client object at 0x7f4bc5cfcd90>, <__main__.Client object at 0x7f4bce2a1e90>, <__main__.Client object at 0x7f4bc5e54ad0>, <__main__.Client object at 0x7f4bc56132d0>, <__main__.Client object at 0x7f4bc5f3abd0>, <__main__.Client object at 0x7f4bc5e5e2d0>, <__main__.Client object at 0x7f4bc5793590>, <__main__.Client object at 0x7f4bc5ef9d50>, <__main__.Client object at 0x7f4bc5deebd0>, <__main__.Client object at 0x7f4bce283cd0>, <__main__.Client object at 0x7f4bd74530d0>, <__main__.Client object at 0x7f4bc55d2e90>, <__main__.Client object at 0x7f4bc58430d0>, <__main__.Client object at 0x7f4bc55c0150>, <__main__.Client object at 0x7f4bc55c3650>, <__main__.Client object at 0x7f4bc55c3bd0>, <__main__.Client object at 0x7f4bc5613dd0>, <__main__.Client object at 0x7f4bc55c2490>, <__main__.Client object at 0x7f4bc55af2d0>, <__main__.Client object at 0x7f4bc5eb39d0>, <__main__.Client object at 0x7f4bc5db7250>, <__main__.Client object at 0x7f4bc5841310>, <__main__.Client object at 0x7f4bc55d0d90>, <__main__.Client object at 0x7f4bce24bcd0>, <__main__.Client object at 0x7f4bce281250>, <__main__.Client object at 0x7f4bc5e03f90>, <__main__.Client object at 0x7f4bc5e00510>, <__main__.Client object at 0x7f4bc55c1e10>, <__main__.Client object at 0x7f4bc55c3b90>, <__main__.Client object at 0x7f4bc5cc1090>, <__main__.Client object at 0x7f4bc5790bd0>, <__main__.Client object at 0x7f4bc5defb90>, <__main__.Client object at 0x7f4bc5dee090>, <__main__.Client object at 0x7f4bc5db7410>, <__main__.Client object at 0x7f4bc5c9fb50>, <__main__.Client object at 0x7f4bc5c9ea10>, <__main__.Client object at 0x7f4bce2dd9d0>], 'server': <__main__.Server object at 0x7f4bce281310>, 'num_communication_rounds': 100, 'select_fraction': 0.1, 'algorithm': 'Power of Choice', 'decay_factor': 1}
